Modelo,Tipo,mse_mean,mae_mean,rmse_mean,r2_mean,nash_sutcliffe_efficiency_mean,ssim_mean,correlation_pearsonr_mean,max_true_mean,max_pred_mean
predict_10min,Predição,2.6280556,0.64188343,1.3817493,0.691119,0.27549613,0.7151267554806171,0.8255413,13.186287,17.986704
predict_10min,Persistência,2.782737,0.6834721,1.4384841,0.5692377,0.24699374,0.6356316050375552,0.7433726,13.186287,14.25735
predict_20min,Predição,2.805286,0.76245356,1.4980891,0.36747465,0.24855188,0.4913359512458893,0.58373654,12.143349,6.8711867
predict_20min,Persistência,7.221677,1.1314394,2.3302093,0.21764989,-0.9359352,0.350726809015525,0.41465205,12.143349,16.653355
predict_30min,Predição,3.215897,0.8653099,1.6362851,0.2674182,0.12592702,0.33188417416837507,0.48219445,11.540289,4.738886
predict_30min,Persistência,6.130912,1.2901443,2.3510697,0.09950154,-1.1668315,0.17877476788702015,0.20443457,11.540289,12.733551
predict_40min,Predição,5.1253257,0.9076772,1.9367483,0.31469938,0.14843957,0.43070096258326485,0.50555676,15.534365,11.145024
predict_40min,Persistência,9.431315,1.4276472,2.847405,0.04711768,-1.4638262,0.21347453259683075,0.14129037,15.534365,15.245272
predict_50min,Predição,5.650743,1.1348186,2.213597,0.298962,0.08508201,0.36417380548841144,0.50217664,18.019999,11.455587
predict_50min,Persistência,12.200882,1.8393768,3.316779,0.05541732,-1.1134684,0.11244737724136748,0.015514654,18.019999,15.806193
predict_60min,Predição,4.80551,0.8642734,1.8333619,0.48006523,0.36329946,0.5011017247196835,0.65216464,16.991571,13.788144
predict_60min,Persistência,12.20542,1.6997116,3.2549577,0.018973516,-1.1906408,0.06407929832232952,-0.07275724,16.991571,17.052177
